"","row_id","drink","date_modified","id_drink","alcoholic","category","glass","ingredient_number","ingredient","measure","measure_vol_frc","measure_vol_dec","measure_vol_dsh","measure_unit","measure_new","measure_ml","measure_stdz","ingredient_and_others","original_ingredient"
"1",0,"'57 Chevy with a White License Plate",2016-07-18 22:49:04,14029,"alcoholic","cocktail","highball glass",1,"creme de cacao","1 oz white","1",NA,NA,"oz white",1,28,-0.0731584639822161,"uncommon ingredient","creme de cacao"
"2",0,"'57 Chevy with a White License Plate",2016-07-18 22:49:04,14029,"alcoholic","cocktail","highball glass",2,"vodka","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"vodka","vodka"
"3",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",1,"absolut kurant","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","absolut kurant"
"4",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",2,"grand marnier","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"uncommon ingredient","grand marnier"
"5",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",3,"chambord raspberry liqueur","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"uncommon ingredient","chambord raspberry liqueur"
"6",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",4,"midori melon liqueur","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"uncommon ingredient","midori melon liqueur"
"7",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",5,"malibu rum","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"uncommon ingredient","malibu rum"
"8",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",6,"amaretto","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"amaretto","amaretto"
"9",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",7,"cranberry juice","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"cranberry juice","cranberry juice"
"10",1,"1-900-FUK-MEUP",2016-07-18 22:27:04,15395,"alcoholic","shot","old-fashioned glass",8,"pineapple juice","1/4 oz","1/4",NA,NA,"oz",0.25,7,-0.0841076376098054,"pineapple juice","pineapple juice"
"11",2,"110 in the shade",2016-02-03 14:51:57,15423,"alcoholic","beer","beer glass",1,"lager","16 oz","16",NA,NA,"oz",16,448,0.14582500856957,"uncommon ingredient","lager"
"12",2,"110 in the shade",2016-02-03 14:51:57,15423,"alcoholic","beer","beer glass",2,"tequila","1.5 oz","1",1.5,NA,"oz",1.5,42,-0.0658590148971566,"tequila","tequila"
"13",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",1,"malibu rum","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","malibu rum"
"14",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",2,"light rum","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"light rum","light rum"
"15",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",3,"151 proof rum","1/2 oz bacardi","1/2",NA,NA,"oz bacardi",0.5,14,-0.0804579130672757,"151 proof rum","151 proof rum"
"16",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",4,"dark creme de cacao","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"uncommon ingredient","dark creme de cacao"
"17",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",5,"cointreau","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"uncommon ingredient","cointreau"
"18",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",6,"milk","3 oz","3",NA,NA,"oz",3,84,-0.0439606676419781,"milk","milk"
"19",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",7,"coconut liqueur","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"uncommon ingredient","coconut liqueur"
"20",3,"151 Florida Bushwacker",2016-07-18 22:28:43,14588,"alcoholic","milk / float / shake","beer glass",8,"vanilla ice-cream","1 cup","1",NA,NA,"cup",1,250,-0.0731584639822161,"uncommon ingredient","vanilla ice-cream"
"21",4,"155 Belmont",2016-10-05 12:36:28,15346,"alcoholic","cocktail","wine glass",1,"dark rum","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"dark rum","dark rum"
"22",4,"155 Belmont",2016-10-05 12:36:28,15346,"alcoholic","cocktail","wine glass",2,"light rum","2 shots","2",NA,NA,"shots",2,60,-0.0585595658120971,"light rum","light rum"
"23",4,"155 Belmont",2016-10-05 12:36:28,15346,"alcoholic","cocktail","wine glass",3,"vodka","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"vodka","vodka"
"24",4,"155 Belmont",2016-10-05 12:36:28,15346,"alcoholic","cocktail","wine glass",4,"orange juice","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"orange juice","orange juice"
"25",5,"24k nightmare",2016-07-18 22:31:38,17060,"alcoholic","shot","shot glass",1,"goldschlager","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","goldschlager"
"26",5,"24k nightmare",2016-07-18 22:31:38,17060,"alcoholic","shot","shot glass",2,"jägermeister","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","jägermeister"
"27",5,"24k nightmare",2016-07-18 22:31:38,17060,"alcoholic","shot","shot glass",3,"rumple minze","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","rumple minze"
"28",5,"24k nightmare",2016-07-18 22:31:38,17060,"alcoholic","shot","shot glass",4,"151 proof rum","1/2 oz bacardi","1/2",NA,NA,"oz bacardi",0.5,14,-0.0804579130672757,"151 proof rum","151 proof rum"
"29",6,"252",2016-07-18 22:32:42,15288,"alcoholic","shot","shot glass",1,"151 proof rum","1/2 shot bacardi","1/2",NA,NA,"shot bacardi",0.5,15,-0.0804579130672757,"151 proof rum","151 proof rum"
"30",6,"252",2016-07-18 22:32:42,15288,"alcoholic","shot","shot glass",2,"wild turkey","1/2 shot","1/2",NA,NA,"shot",0.5,15,-0.0804579130672757,"uncommon ingredient","wild turkey"
"31",7,"3 Wise Men",2016-07-18 22:34:37,13899,"alcoholic","shot","collins glass",1,"jack daniels","1/3 oz","1/3",NA,NA,"oz",0.333333333333333,9.33333333333333,-0.0828910627622955,"uncommon ingredient","jack daniels"
"32",7,"3 Wise Men",2016-07-18 22:34:37,13899,"alcoholic","shot","collins glass",2,"johnnie walker","1/3 oz","1/3",NA,NA,"oz",0.333333333333333,9.33333333333333,-0.0828910627622955,"uncommon ingredient","johnnie walker"
"33",7,"3 Wise Men",2016-07-18 22:34:37,13899,"alcoholic","shot","collins glass",3,"jim beam","1/3 oz","1/3",NA,NA,"oz",0.333333333333333,9.33333333333333,-0.0828910627622955,"uncommon ingredient","jim beam"
"34",8,"3-Mile Long Island Iced Tea",2016-08-31 19:42:52,15300,"alcoholic","ordinary drink","collins glass",1,"gin","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"gin","gin"
"35",8,"3-Mile Long Island Iced Tea",2016-08-31 19:42:52,15300,"alcoholic","ordinary drink","collins glass",2,"light rum","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"light rum","light rum"
"36",8,"3-Mile Long Island Iced Tea",2016-08-31 19:42:52,15300,"alcoholic","ordinary drink","collins glass",3,"tequila","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"tequila","tequila"
"37",8,"3-Mile Long Island Iced Tea",2016-08-31 19:42:52,15300,"alcoholic","ordinary drink","collins glass",4,"triple sec","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"triple sec","triple sec"
"38",8,"3-Mile Long Island Iced Tea",2016-08-31 19:42:52,15300,"alcoholic","ordinary drink","collins glass",5,"vodka","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"vodka","vodka"
"39",8,"3-Mile Long Island Iced Tea",2016-08-31 19:42:52,15300,"alcoholic","ordinary drink","collins glass",6,"coca-cola","",NA,NA,NA,NA,NA,NA,NA,"coca-cola","coca-cola"
"40",8,"3-Mile Long Island Iced Tea",2016-08-31 19:42:52,15300,"alcoholic","ordinary drink","collins glass",7,"sweet and sour","1-2 dash","1",NA,"1-2","dash",1,0.6,-0.0731584639822161,"sweet and sour","sweet and sour"
"41",8,"3-Mile Long Island Iced Tea",2016-08-31 19:42:52,15300,"alcoholic","ordinary drink","collins glass",8,"bitters","1 wedge","1",NA,NA,"wedge",1,NA,-0.0731584639822161,"bitters","bitters"
"42",9,"410 Gone",2016-08-31 19:43:46,13581,"alcoholic","ordinary drink","collins glass",1,"peach vodka","2-3 oz","2",NA,"2-3","oz",2,56,-0.0585595658120971,"uncommon ingredient","peach vodka"
"43",10,"50/50",2016-04-29 09:41:56,14598,"alcoholic","ordinary drink","collins glass",1,"vanilla vodka","2 1/2 oz","2 1/2",NA,NA,"oz",2.5,70,-0.0512601167270376,"uncommon ingredient","vanilla vodka"
"44",10,"50/50",2016-04-29 09:41:56,14598,"alcoholic","ordinary drink","collins glass",2,"grand marnier","1 splash","1",NA,NA,"splash",1,3.5,-0.0731584639822161,"uncommon ingredient","grand marnier"
"45",10,"50/50",2016-04-29 09:41:56,14598,"alcoholic","ordinary drink","collins glass",3,"orange juice","fill with",NA,NA,NA,"fill with",NA,NA,NA,"orange juice","orange juice"
"46",11,"501 Blue",2016-04-28 19:11:37,17105,"alcoholic","ordinary drink","collins glass",1,"blue curacao","",NA,NA,NA,NA,NA,NA,NA,"blue curacao","blue curacao"
"47",11,"501 Blue",2016-04-28 19:11:37,17105,"alcoholic","ordinary drink","collins glass",2,"blueberry schnapps","",NA,NA,NA,NA,NA,NA,NA,"uncommon ingredient","blueberry schnapps"
"48",11,"501 Blue",2016-04-28 19:11:37,17105,"alcoholic","ordinary drink","collins glass",3,"vodka","",NA,NA,NA,NA,NA,NA,NA,"vodka","vodka"
"49",11,"501 Blue",2016-04-28 19:11:37,17105,"alcoholic","ordinary drink","collins glass",4,"sour mix","",NA,NA,NA,NA,NA,NA,NA,"uncommon ingredient","sour mix"
"50",11,"501 Blue",2016-04-28 19:11:37,17105,"alcoholic","ordinary drink","collins glass",5,"7-up","",NA,NA,NA,NA,NA,NA,NA,"uncommon ingredient","7-up"
"51",12,"69 Special",2016-08-31 19:44:55,13940,"alcoholic","ordinary drink","collins glass",1,"gin","2 oz dry","2",NA,NA,"oz dry",2,56,-0.0585595658120971,"gin","gin"
"52",12,"69 Special",2016-08-31 19:44:55,13940,"alcoholic","ordinary drink","collins glass",2,"7-up","4 oz","4",NA,NA,"oz",4,112,-0.029361769471859,"uncommon ingredient","7-up"
"53",12,"69 Special",2016-08-31 19:44:55,13940,"alcoholic","ordinary drink","collins glass",3,"lemon juice","0.75 oz","0",0.75,NA,"oz",0.75,21,-0.0768081885247459,"lemon juice","lemon juice"
"54",13,"747",2016-08-31 19:28:26,14229,"alcoholic","shot","shot glass",1,"kahlua","1/3 part","1/3",NA,NA,"part",0.333333333333333,1.66666666666667,-0.0828910627622955,"kahlua","kahlua"
"55",13,"747",2016-08-31 19:28:26,14229,"alcoholic","shot","shot glass",2,"bailey's irish cream","1/3 part","1/3",NA,NA,"part",0.333333333333333,1.66666666666667,-0.0828910627622955,"bailey's irish cream","bailey's irish cream"
"56",13,"747",2016-08-31 19:28:26,14229,"alcoholic","shot","shot glass",3,"frangelico","1/3 part","1/3",NA,NA,"part",0.333333333333333,1.66666666666667,-0.0828910627622955,"uncommon ingredient","frangelico"
"57",14,"9 1/2 Weeks",2016-08-31 19:48:22,16108,"alcoholic","cocktail","cocktail glass",1,"absolut citron","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"uncommon ingredient","absolut citron"
"58",14,"9 1/2 Weeks",2016-08-31 19:48:22,16108,"alcoholic","cocktail","cocktail glass",2,"orange curacao","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","orange curacao"
"59",14,"9 1/2 Weeks",2016-08-31 19:48:22,16108,"alcoholic","cocktail","cocktail glass",3,"strawberry liqueur","1 splash","1",NA,NA,"splash",1,3.5,-0.0731584639822161,"uncommon ingredient","strawberry liqueur"
"60",14,"9 1/2 Weeks",2016-08-31 19:48:22,16108,"alcoholic","cocktail","cocktail glass",4,"orange juice","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"orange juice","orange juice"
"61",15,"A Day at the Beach",2016-02-03 15:47:54,15200,"alcoholic","ordinary drink","highball glass",1,"coconut rum","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"uncommon ingredient","coconut rum"
"62",15,"A Day at the Beach",2016-02-03 15:47:54,15200,"alcoholic","ordinary drink","highball glass",2,"amaretto","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"amaretto","amaretto"
"63",15,"A Day at the Beach",2016-02-03 15:47:54,15200,"alcoholic","ordinary drink","highball glass",3,"orange juice","4 oz","4",NA,NA,"oz",4,112,-0.029361769471859,"orange juice","orange juice"
"64",15,"A Day at the Beach",2016-02-03 15:47:54,15200,"alcoholic","ordinary drink","highball glass",4,"grenadine","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"grenadine","grenadine"
"65",16,"A Furlong Too Late",2016-08-31 19:46:06,11000,"alcoholic","ordinary drink","highball glass",1,"light rum","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"light rum","light rum"
"66",16,"A Furlong Too Late",2016-08-31 19:46:06,11000,"alcoholic","ordinary drink","highball glass",2,"ginger beer","4 oz","4",NA,NA,"oz",4,112,-0.029361769471859,"uncommon ingredient","ginger beer"
"67",16,"A Furlong Too Late",2016-08-31 19:46:06,11000,"alcoholic","ordinary drink","highball glass",3,"lemon peel","1 twist of","1",NA,NA,"twist of",1,NA,-0.0731584639822161,"lemon peel","lemon peel"
"68",17,"A Gilligan's Island",2016-04-28 19:12:56,16943,"alcoholic","cocktail","collins glass",1,"vodka","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"vodka","vodka"
"69",17,"A Gilligan's Island",2016-04-28 19:12:56,16943,"alcoholic","cocktail","collins glass",2,"peach schnapps","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"peach schnapps","peach schnapps"
"70",17,"A Gilligan's Island",2016-04-28 19:12:56,16943,"alcoholic","cocktail","collins glass",3,"orange juice","3 oz","3",NA,NA,"oz",3,84,-0.0439606676419781,"orange juice","orange juice"
"71",17,"A Gilligan's Island",2016-04-28 19:12:56,16943,"alcoholic","cocktail","collins glass",4,"cranberry juice","3 oz","3",NA,NA,"oz",3,84,-0.0439606676419781,"cranberry juice","cranberry juice"
"72",18,"A Night In Old Mandalay",2016-04-29 09:43:00,11001,"alcoholic","ordinary drink","highball glass",1,"light rum","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"light rum","light rum"
"73",18,"A Night In Old Mandalay",2016-04-29 09:43:00,11001,"alcoholic","ordinary drink","highball glass",2,"añejo rum","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"uncommon ingredient","añejo rum"
"74",18,"A Night In Old Mandalay",2016-04-29 09:43:00,11001,"alcoholic","ordinary drink","highball glass",3,"orange juice","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"orange juice","orange juice"
"75",18,"A Night In Old Mandalay",2016-04-29 09:43:00,11001,"alcoholic","ordinary drink","highball glass",4,"lemon juice","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"lemon juice","lemon juice"
"76",18,"A Night In Old Mandalay",2016-04-29 09:43:00,11001,"alcoholic","ordinary drink","highball glass",5,"ginger ale","3 oz","3",NA,NA,"oz",3,84,-0.0439606676419781,"ginger ale","ginger ale"
"77",18,"A Night In Old Mandalay",2016-04-29 09:43:00,11001,"alcoholic","ordinary drink","highball glass",6,"lemon peel","1 twist of","1",NA,NA,"twist of",1,NA,-0.0731584639822161,"lemon peel","lemon peel"
"78",19,"A Piece of Ass",2016-09-01 09:48:57,16405,"alcoholic","other/unknown","highball glass",1,"amaretto","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"amaretto","amaretto"
"79",19,"A Piece of Ass",2016-09-01 09:48:57,16405,"alcoholic","other/unknown","highball glass",2,"southern comfort","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"uncommon ingredient","southern comfort"
"80",19,"A Piece of Ass",2016-09-01 09:48:57,16405,"alcoholic","other/unknown","highball glass",3,"ice","cubes",NA,NA,NA,"cubes",NA,NA,NA,"ice","ice"
"81",19,"A Piece of Ass",2016-09-01 09:48:57,16405,"alcoholic","other/unknown","highball glass",4,"sour mix","",NA,NA,NA,NA,NA,NA,NA,"uncommon ingredient","sour mix"
"82",20,"A Splash of Nash",2016-08-31 19:30:01,14564,"alcoholic","shot","highball glass",1,"cranberry juice","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"cranberry juice","cranberry juice"
"83",20,"A Splash of Nash",2016-08-31 19:30:01,14564,"alcoholic","shot","highball glass",2,"soda water","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"soda water","soda water"
"84",20,"A Splash of Nash",2016-08-31 19:30:01,14564,"alcoholic","shot","highball glass",3,"midori melon liqueur","0.5 oz","0",0.5,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","midori melon liqueur"
"85",20,"A Splash of Nash",2016-08-31 19:30:01,14564,"alcoholic","shot","highball glass",4,"creme de banane","0.5 oz","0",0.5,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","creme de banane"
"86",21,"A True Amaretto Sour",2016-08-31 19:49:32,17005,"alcoholic","cocktail","old-fashioned glass",1,"amaretto","1 jigger","1",NA,NA,"jigger",1,30,-0.0731584639822161,"amaretto","amaretto"
"87",21,"A True Amaretto Sour",2016-08-31 19:49:32,17005,"alcoholic","cocktail","old-fashioned glass",2,"lemon","juice of 1/2",NA,NA,NA,"juice of",NA,NA,NA,"lemon","lemon"
"88",21,"A True Amaretto Sour",2016-08-31 19:49:32,17005,"alcoholic","cocktail","old-fashioned glass",3,"ice","",NA,NA,NA,NA,NA,NA,NA,"ice","ice"
"89",22,"A midsummernight dream",2016-04-28 19:14:52,15675,"alcoholic","ordinary drink","collins glass",1,"vodka","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"vodka","vodka"
"90",22,"A midsummernight dream",2016-04-28 19:14:52,15675,"alcoholic","ordinary drink","collins glass",2,"kirschwasser","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"uncommon ingredient","kirschwasser"
"91",22,"A midsummernight dream",2016-04-28 19:14:52,15675,"alcoholic","ordinary drink","collins glass",3,"strawberry liqueur","1 tsp","1",NA,NA,"tsp",1,NA,-0.0731584639822161,"uncommon ingredient","strawberry liqueur"
"92",22,"A midsummernight dream",2016-04-28 19:14:52,15675,"alcoholic","ordinary drink","collins glass",4,"strawberries","5","5",NA,NA,NA,5,5,-0.01476287130174,"uncommon ingredient","strawberries"
"93",22,"A midsummernight dream",2016-04-28 19:14:52,15675,"alcoholic","ordinary drink","collins glass",5,"schweppes russchian","",NA,NA,NA,NA,NA,NA,NA,"uncommon ingredient","schweppes russchian"
"94",23,"A. J.",2016-09-02 11:16:58,11002,"alcoholic","ordinary drink","cocktail glass",1,"applejack","1 1/2 oz","1 1/2",NA,NA,"oz",1.5,42,-0.0658590148971566,"uncommon ingredient","applejack"
"95",23,"A. J.",2016-09-02 11:16:58,11002,"alcoholic","ordinary drink","cocktail glass",2,"grapefruit juice","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"uncommon ingredient","grapefruit juice"
"96",24,"A.D.M. (After Dinner Mint)",2016-08-31 19:53:20,14560,"alcoholic","cocktail","coffee mug",1,"white creme de menthe","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","white creme de menthe"
"97",24,"A.D.M. (After Dinner Mint)",2016-08-31 19:53:20,14560,"alcoholic","cocktail","coffee mug",2,"southern comfort","3/4 oz","3/4",NA,NA,"oz",0.75,21,-0.0768081885247459,"uncommon ingredient","southern comfort"
"98",24,"A.D.M. (After Dinner Mint)",2016-08-31 19:53:20,14560,"alcoholic","cocktail","coffee mug",3,"vodka","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"vodka","vodka"
"99",24,"A.D.M. (After Dinner Mint)",2016-08-31 19:53:20,14560,"alcoholic","cocktail","coffee mug",4,"hot chocolate","fill with",NA,NA,NA,"fill with",NA,NA,NA,"uncommon ingredient","hot chocolate"
"100",25,"A1",2017-09-07 21:42:09,17222,"alcoholic","cocktail","cocktail glass",1,"gin","1 3/4 shot","1 3/4",NA,NA,"shot",1.75,52.5,-0.0622092903546269,"gin","gin"
"101",25,"A1",2017-09-07 21:42:09,17222,"alcoholic","cocktail","cocktail glass",2,"grand marnier","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"uncommon ingredient","grand marnier"
"102",25,"A1",2017-09-07 21:42:09,17222,"alcoholic","cocktail","cocktail glass",3,"lemon juice","1/4 shot","1/4",NA,NA,"shot",0.25,7.5,-0.0841076376098054,"lemon juice","lemon juice"
"103",25,"A1",2017-09-07 21:42:09,17222,"alcoholic","cocktail","cocktail glass",4,"grenadine","1/8 shot","1/8",NA,NA,"shot",0.125,3.75,-0.0859324998810703,"grenadine","grenadine"
"104",26,"ABC",2016-08-31 19:32:08,13501,"alcoholic","shot","shot glass",1,"amaretto","1/3","1/3",NA,NA,NA,0.333333333333333,0.333333333333333,-0.0828910627622955,"amaretto","amaretto"
"105",26,"ABC",2016-08-31 19:32:08,13501,"alcoholic","shot","shot glass",2,"bailey's irish cream","1/3","1/3",NA,NA,NA,0.333333333333333,0.333333333333333,-0.0828910627622955,"bailey's irish cream","bailey's irish cream"
"106",26,"ABC",2016-08-31 19:32:08,13501,"alcoholic","shot","shot glass",3,"cognac","1/3","1/3",NA,NA,NA,0.333333333333333,0.333333333333333,-0.0828910627622955,"uncommon ingredient","cognac"
"107",27,"ACID",2016-11-15 11:28:37,14610,"alcoholic","shot","shot glass",1,"151 proof rum","1 oz bacardi","1",NA,NA,"oz bacardi",1,28,-0.0731584639822161,"151 proof rum","151 proof rum"
"108",27,"ACID",2016-11-15 11:28:37,14610,"alcoholic","shot","shot glass",2,"wild turkey","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"uncommon ingredient","wild turkey"
"109",28,"AT&T",2017-04-24 22:00:19,13938,"alcoholic","ordinary drink","highball glass",1,"absolut vodka","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"uncommon ingredient","absolut vodka"
"110",28,"AT&T",2017-04-24 22:00:19,13938,"alcoholic","ordinary drink","highball glass",2,"gin","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"gin","gin"
"111",28,"AT&T",2017-04-24 22:00:19,13938,"alcoholic","ordinary drink","highball glass",3,"tonic water","4 oz","4",NA,NA,"oz",4,112,-0.029361769471859,"uncommon ingredient","tonic water"
"112",29,"Abbey Cocktail",2016-09-02 11:19:28,11003,"alcoholic","ordinary drink","cocktail glass",1,"gin","1 1/2 oz","1 1/2",NA,NA,"oz",1.5,42,-0.0658590148971566,"gin","gin"
"113",29,"Abbey Cocktail",2016-09-02 11:19:28,11003,"alcoholic","ordinary drink","cocktail glass",2,"orange bitters","1 dash","1",NA,NA,"dash",1,0.6,-0.0731584639822161,"orange bitters","orange bitters"
"114",29,"Abbey Cocktail",2016-09-02 11:19:28,11003,"alcoholic","ordinary drink","cocktail glass",3,"orange","juice of 1/4",NA,NA,NA,"juice of",NA,NA,NA,"orange","orange"
"115",29,"Abbey Cocktail",2016-09-02 11:19:28,11003,"alcoholic","ordinary drink","cocktail glass",4,"cherry","1","1",NA,NA,NA,1,1,-0.0731584639822161,"cherry","cherry"
"116",30,"Abbey Martini",2017-09-07 21:50:03,17223,"alcoholic","cocktail","cocktail glass",1,"gin","2 shots","2",NA,NA,"shots",2,60,-0.0585595658120971,"gin","gin"
"117",30,"Abbey Martini",2017-09-07 21:50:03,17223,"alcoholic","cocktail","cocktail glass",2,"sweet vermouth","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"sweet vermouth","sweet vermouth"
"118",30,"Abbey Martini",2017-09-07 21:50:03,17223,"alcoholic","cocktail","cocktail glass",3,"orange juice","1 shot","1",NA,NA,"shot",1,30,-0.0731584639822161,"orange juice","orange juice"
"119",30,"Abbey Martini",2017-09-07 21:50:03,17223,"alcoholic","cocktail","cocktail glass",4,"angostura bitters","3 dashes","3",NA,NA,"dashes",3,1.8,-0.0439606676419781,"uncommon ingredient","angostura bitters"
"120",31,"Abilene",2016-04-29 09:44:25,11004,"alcoholic","ordinary drink","highball glass",1,"dark rum","1 1/2 oz","1 1/2",NA,NA,"oz",1.5,42,-0.0658590148971566,"dark rum","dark rum"
"121",31,"Abilene",2016-04-29 09:44:25,11004,"alcoholic","ordinary drink","highball glass",2,"peach nectar","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"uncommon ingredient","peach nectar"
"122",31,"Abilene",2016-04-29 09:44:25,11004,"alcoholic","ordinary drink","highball glass",3,"orange juice","3 oz","3",NA,NA,"oz",3,84,-0.0439606676419781,"orange juice","orange juice"
"123",32,"Absinthe #2",2016-08-31 19:13:17,12790,"alcoholic","homemade liqueur","jar",1,"vodka","1 bottle","1",NA,NA,"bottle",1,NA,-0.0731584639822161,"vodka","vodka"
"124",32,"Absinthe #2",2016-08-31 19:13:17,12790,"alcoholic","homemade liqueur","jar",2,"sugar","50 gr","50",NA,NA,"gr",50,NA,0.642187546353617,"sugar","sugar"
"125",32,"Absinthe #2",2016-08-31 19:13:17,12790,"alcoholic","homemade liqueur","jar",3,"anise","50 ml pure","50",NA,NA,"ml pure",50,50,0.642187546353617,"uncommon ingredient","anise"
"126",32,"Absinthe #2",2016-08-31 19:13:17,12790,"alcoholic","homemade liqueur","jar",4,"licorice root","1 tblsp","1",NA,NA,"tblsp",1,NA,-0.0731584639822161,"uncommon ingredient","licorice root"
"127",32,"Absinthe #2",2016-08-31 19:13:17,12790,"alcoholic","homemade liqueur","jar",5,"wormwood","1","1",NA,NA,NA,1,1,-0.0731584639822161,"uncommon ingredient","wormwood"
"128",33,"Absolut Evergreen",2016-09-02 11:36:49,14374,"alcoholic","other/unknown","collins glass",1,"absolut citron","2/3 part","2/3",NA,NA,"part",0.666666666666667,3.33333333333333,-0.0780247633722558,"uncommon ingredient","absolut citron"
"129",33,"Absolut Evergreen",2016-09-02 11:36:49,14374,"alcoholic","other/unknown","collins glass",2,"pisang ambon","1/3 part","1/3",NA,NA,"part",0.333333333333333,1.66666666666667,-0.0828910627622955,"uncommon ingredient","pisang ambon"
"130",33,"Absolut Evergreen",2016-09-02 11:36:49,14374,"alcoholic","other/unknown","collins glass",3,"ice","cubes",NA,NA,NA,"cubes",NA,NA,NA,"ice","ice"
