"","row_id","drink","date_modified","id_drink","alcoholic","category","glass","ingredient_number","ingredient","measure","measure_vol_frc","measure_vol_dec","measure_vol_dsh","measure_unit","measure_new","measure_ml","measure_stdz","ingredient_and_others","original_ingredient"
"1685",432,"Royal Fizz",2017-09-02 23:16:49,12055,"alcoholic","ordinary drink","collins glass",1,"gin","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"gin","gin"
"1686",432,"Royal Fizz",2017-09-02 23:16:49,12055,"alcoholic","ordinary drink","collins glass",2,"sweet and sour","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"sweet and sour","sweet and sour"
"1687",432,"Royal Fizz",2017-09-02 23:16:49,12055,"alcoholic","ordinary drink","collins glass",3,"egg","1 whole","1",NA,NA,"whole",1,NA,-0.0731584639822161,"uncommon ingredient","egg"
"1688",432,"Royal Fizz",2017-09-02 23:16:49,12055,"alcoholic","ordinary drink","collins glass",4,"coca-cola","",NA,NA,NA,NA,NA,NA,NA,"coca-cola","coca-cola"
"1689",433,"Royal Flush",2017-09-08 17:35:27,15082,"alcoholic","shot","old-fashioned glass",1,"crown royal","1 1/2 oz","1 1/2",NA,NA,"oz",1.5,42,-0.0658590148971566,"uncommon ingredient","crown royal"
"1690",433,"Royal Flush",2017-09-08 17:35:27,15082,"alcoholic","shot","old-fashioned glass",2,"peach schnapps","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"peach schnapps","peach schnapps"
"1691",433,"Royal Flush",2017-09-08 17:35:27,15082,"alcoholic","shot","old-fashioned glass",3,"chambord raspberry liqueur","1/2 oz","1/2",NA,NA,"oz",0.5,14,-0.0804579130672757,"uncommon ingredient","chambord raspberry liqueur"
"1692",433,"Royal Flush",2017-09-08 17:35:27,15082,"alcoholic","shot","old-fashioned glass",4,"cranberry juice","1 oz","1",NA,NA,"oz",1,28,-0.0731584639822161,"cranberry juice","cranberry juice"
"1693",434,"Royal Gin Fizz",2017-09-06 23:07:52,12057,"alcoholic","ordinary drink","highball glass",1,"gin","2 oz","2",NA,NA,"oz",2,56,-0.0585595658120971,"gin","gin"
"1694",434,"Royal Gin Fizz",2017-09-06 23:07:52,12057,"alcoholic","ordinary drink","highball glass",2,"lemon","juice of 1/2",NA,NA,NA,"juice of",NA,NA,NA,"lemon","lemon"
